,word,count
714,equities,44
715,dollar,44
716,piece,44
717,count,44
718,decision,44
719,control,44
720,plans,44
721,digital,43
722,issuance,43
723,maintained,43
724,paying,43
725,assume,43
726,update,43
727,marianne,43
728,team,43
729,speaking,42
730,lose,42
731,weeks,42
732,drove,42
733,strategy,42
734,appropriate,42
735,late,42
736,wanted,42
737,consider,42
738,reflect,42
739,ones,42
740,showed,42
741,meet,42
742,bill,42
743,delinquency,42
744,absolutely,42
745,refer,41
746,seasonally,41
747,reform,41
748,earn,41
749,reducing,41
750,capacity,41
751,ever,41
752,specifically,41
753,figure,41
754,portion,41
755,throughout,41
756,programs,41
757,sequentially,40
758,meaningful,40
759,america,40
760,fee,40
761,managed,40
762,everyone,40
763,ways,40
764,fine,40
765,effective,40
766,gas,40
767,challenging,40
768,custody,40
769,circled,40
770,wallet,39
771,processing,39
772,expectation,39
773,pace,39
774,depending,39
775,realized,39
776,states,39
777,mention,39
778,liability,39
779,support,39
780,housing,39
781,consecutive,39
782,hedge,39
783,favorable,38
784,platform,38
785,standardized,38
786,betsy,38
787,dramatically,38
788,unemployment,38
789,later,38
790,report,38
791,simplification,38
792,headcount,38
793,june,38
794,efficiency,38
795,lumpy,38
796,using,38
797,transaction,37
798,emerging,37
799,adjustment,37
800,thinking,37
801,others,37
802,speakers,37
803,plenty,37
804,reflected,37
805,quarterly,37
806,repurchase,37
807,track,37
808,efficient,37
809,community,36
810,repricing,36
811,slower,36
812,confidence,36
813,changing,36
814,statement,36
815,normalized,36
816,disclosed,36
817,funds,36
818,wrong,36
819,degree,36
820,origination,35
821,uncertainty,35
822,hit,35
823,assuming,35
824,absolute,35
825,outside,35
826,closer,35
827,weighted,35
828,properly,35
829,doug,35
830,zero,35
831,without,35
832,create,35
833,provide,35
834,globally,35
835,default,35
836,approach,35
837,delivered,35
838,crisis,35
839,reporting,35
840,allowance,35
841,separate,35
842,quick,35
843,legacy,34
844,robust,34
845,commodities,34
846,month,34
847,takes,34
848,moved,34
849,dividends,34
850,wait,34
851,find,34
852,albeit,34
853,break,34
854,guy,34
855,weak,34
856,larger,33
857,extent,33
858,importantly,33
859,runoff,33
860,north,33
861,looked,33
862,mobile,33
863,closed,33
864,segment,33
865,prepared,33
866,test,33
867,public,33
868,highest,33
869,march,33
870,collateral,33
871,sector,33
872,declined,33
873,improvements,33
874,reductions,33
875,vintages,32
876,leadership,32
877,q,32
878,remainder,32
879,payment,32
880,cautious,32
881,seasonal,32
882,happened,32
883,needs,32
884,folks,32
885,periods,32
886,buffer,32
887,savings,32
888,factor,32
889,among,32
890,phone,32
891,table,32
892,worse,32
893,modestly,32
894,controls,32
895,disclaimer,31
896,financing,31
897,increases,31
898,standards,31
899,bigger,31
900,reserving,31
901,perspective,31
902,beyond,31
903,reality,31
904,bringing,31
905,exit,31
906,assumptions,31
907,analysis,31
908,operational,31
909,however,31
910,cetera,31
911,ph,31
912,positioned,30
913,intend,30
914,bucket,30
915,relationships,30
916,difficult,30
917,pleased,30
918,debit,30
919,principally,30
920,feedback,30
921,decent,30
922,guys,30
923,pointed,30
924,honestly,30
925,attention,30
926,agree,30
927,hear,30
928,behind,30
929,service,30
930,held,30
931,slr,30
932,otherwise,30
933,leave,30
934,disciplined,30
935,elevated,30
936,performing,30
937,characterize,30
938,mutual,30
939,pro,30
940,direct,30
941,repurchases,29
942,ccb,29
943,organic,29
944,operator,29
945,referring,29
946,sentiment,29
947,impacted,29
948,recently,29
949,asked,29
950,coverage,29
951,cases,29
952,optimistic,29
953,profitability,29
954,giving,29
955,life,29
956,roll,29
957,generate,29
958,remind,29
959,statements,29
960,gives,29
961,cover,29
962,details,29
963,broad,29
964,problems,29
965,books,29
966,california,29
967,order,29
968,execution,29
969,john,29
970,activities,29
971,hi,29
972,lead,29
973,cause,29
974,subprime,29
975,please,28
976,outstandings,28
977,aum,28
978,benefiting,28
979,spot,28
980,feels,28
981,information,28
982,led,28
983,december,28
984,materially,28
985,complex,28
986,called,28
987,putting,28
988,name,28
989,shares,28
990,estimated,28
991,happy,28
992,comparable,28
993,commitments,28
994,targets,28
995,competitors,28
996,saves,28
997,advanced,28
998,moment,28
999,severance,28
1000,measure,28
1001,simply,28
1002,efficiencies,27
1003,dialogue,27
1004,declines,27
1005,macro,27
1006,increasing,27
1007,liquid,27
1008,pick,27
1009,willing,27
1010,step,27
1011,consistently,27
1012,percentage,27
1013,biggest,27
1014,derivative,27
1015,dimon,27
1016,along,27
1017,week,27
1018,compliant,27
1019,bring,27
1020,jumbo,27
1021,correct,27
1022,marked,27
1023,possibly,27
1024,onto,26
1025,january,26
1026,outcome,26
1027,shareholder,26
1028,largest,26
1029,country,26
1030,required,26
1031,recent,26
1032,consideration,26
1033,dynamics,26
1034,news,26
1035,chunk,26
1036,pieces,26
1037,involved,26
1038,lots,26
1039,proper,26
1040,transactions,25
1041,various,25
1042,migration,25
1043,implied,25
1044,satisfaction,25
1045,notable,25
1046,rule,25
1047,complete,25
1048,reserved,25
1049,settlement,25
1050,protect,25
1051,regarding,25
1052,relating,25
1053,extremely,25
1054,actively,25
1055,detailed,25
1056,european,25
1057,consolidated,25
1058,dva,25
1059,nonoperating,25
1060,contributed,25
1061,problem,25
1062,advantage,25
1063,shift,25
1064,trust,25
1065,hand,25
1066,framework,25
1067,disclosures,25
1068,room,25
1069,group,25
1070,scale,24
1071,glenn,24
1072,existing,24
1073,released,24
1074,ranking,24
1075,trending,24
1076,power,24
1077,hike,24
1078,relationship,24
1079,primary,24
1080,residual,24
1081,mind,24
1082,predict,24
1083,appetite,24
1084,sometimes,24
1085,recall,24
1086,proposal,24
1087,minimum,24
1088,directly,24
1089,engaged,24
1090,alone,24
1091,old,24
1092,compete,24
1093,granular,24
1094,maintain,24
1095,asia,24
1096,policies,24
1097,payments,24
1098,matters,24
1099,outstanding,24
1100,mark,24
1101,box,24
1102,bond,24
1103,limits,24
1104,preferred,24
1105,rank,23
1106,advisory,23
1107,benefited,23
1108,distribution,23
1109,previous,23
1110,events,23
1111,predominantly,23
1112,proud,23
1113,impaired,23
1114,segments,23
1115,extraordinary,23
1116,definitely,23
1117,structure,23
1118,head,23
1119,stabilize,23
1120,allowed,23
1121,depends,23
1122,difference,23
1123,checking,23
1124,foreclosure,23
1125,event,23
1126,types,23
1127,slow,23
1128,outflows,23
1129,reached,23
1130,buying,23
1131,decide,23
1132,american,23
1133,institutional,23
1134,disclose,23
1135,date,23
1136,guided,23
1137,effectively,23
1138,aggressive,23
1139,conforming,23
1140,marks,23
1141,builds,22
1142,conditions,22
1143,respectively,22
1144,wrap,22
1145,consumers,22
1146,sapphire,22
1147,opened,22
1148,natural,22
1149,area,22
1150,careful,22
1151,steady,22
1152,opposed,22
1153,serve,22
1154,gaap,22
1155,tremendous,22
1156,structural,22
1157,waiting,22
1158,repo,22
1159,soon,22
1160,currently,22
1161,relate,22
1162,international,22
1163,gotten,22
1164,differently,22
1165,someone,22
1166,names,22
1167,supportive,22
1168,exclude,22
1169,countries,22
1170,profit,22
1171,dramatic,22
1172,categories,22
1173,dina,22
1174,retained,22
1175,senior,22
1176,cents,22
1177,signs,21
1178,health,21
1179,ecm,21
1180,puts,21
1181,cut,21
1182,yields,21
1183,shape,21
1184,heard,21
1185,rise,21
1186,impacts,21
1187,scenarios,21
1188,ultimate,21
1189,usually,21
1190,utilization,21
1191,handle,21
1192,hundreds,21
1193,finish,21
1194,road,21
1195,facts,21
1196,sold,21
1197,conversion,21
1198,maintaining,21
1199,rewards,21
1200,leading,21
1201,discussion,21
1202,peak,21
1203,essentially,21
1204,press,21
1205,downgrades,21
1206,leveraged,21
1207,optimize,21
1208,normalize,21
1209,compliance,21
1210,allocated,21
1211,forma,21
1212,bankruptcy,21
1213,delivering,21
1214,conversions,21
1215,values,21
1216,fha,21
1217,extended,21
1218,options,21
1219,execute,21
1220,earning,21
1221,program,21
1222,sometime,21
1223,substantial,21
1224,agency,20
1225,neutral,20
1226,industries,20
1227,slight,20
1228,inventory,20
1229,meeting,20
1230,chance,20
1231,capabilities,20
1232,cyclical,20
1233,resolution,20
1234,committed,20
1235,situation,20
1236,september,20
1237,historical,20
1238,scenario,20
1239,hopeful,20
1240,opinion,20
1241,aside,20
1242,modify,20
1243,backdrop,20
1244,gap,20
1245,drives,20
1246,traditional,20
1247,offsetting,20
1248,yeah,20
1249,ready,20
1250,transition,20
1251,individual,20
1252,economics,20
1253,afs,20
1254,comparison,19
1255,lesser,19
1256,headwinds,19
1257,diversification,19
1258,declining,19
1259,weaker,19
1260,broader,19
1261,opening,19
1262,bought,19
1263,calculation,19
1264,tests,19
1265,tss,19
1266,listen,19
1267,fundamentally,19
1268,sensitive,19
1269,allow,19
1270,nature,19
1271,dcm,19
1272,speak,19
1273,inside,19
1274,embedded,19
1275,slowly,19
1276,covered,19
1277,allocate,19
1278,committee,19
1279,usual,19
1280,constantly,19
1281,fico,19
1282,exceeded,19
1283,binding,19
1284,broker,19
1285,provision,19
1286,noninterest,18
1287,centers,18
1288,dynamic,18
1289,pipelines,18
1290,path,18
1291,variable,18
1292,liabilities,18
1293,carry,18
1294,absence,18
1295,medium,18
1296,clarity,18
1297,losing,18
1298,written,18
1299,digits,18
1300,accelerated,18
1301,surprised,18
1302,highly,18
1303,exact,18
1304,challenges,18
1305,hedged,18
1306,anyone,18
1307,forgot,18
1308,worst,18
1309,sitting,18
1310,tougher,18
1311,response,18
1312,modifications,18
1313,agenda,18
1314,aware,18
1315,contribution,18
1316,lastly,18
1317,fx,18
1318,serving,18
1319,operate,18
1320,worry,18
1321,skip,18
1322,slides,18
1323,happening,18
1324,acquisitions,18
1325,david,18
1326,tail,18
1327,earned,18
1328,excellent,18
1329,phased,18
1330,confident,18
1331,floor,18
1332,restructuring,18
1333,forecast,18
1334,visibility,18
1335,approved,18
1336,newer,17
1337,season,17
1338,perhaps,17
1339,sensitivity,17
1340,meaningfully,17
1341,adjusting,17
1342,becomes,17
1343,continuation,17
1344,relief,17
1345,showing,17
1346,drop,17
1347,faster,17
1348,personally,17
1349,retaining,17
1350,rational,17
1351,profitable,17
1352,state,17
1353,mistakes,17
1354,nevertheless,17
1355,regular,17
1356,resources,17
1357,straight,17
1358,notwithstanding,17
1359,nine,17
1360,volcker,17
1361,disclosure,17
1362,retain,17
1363,sovereign,17
1364,picture,17
1365,april,17
1366,benign,17
1367,generation,17
1368,invested,17
1369,clearing,17
1370,works,17
1371,legislation,17
1372,main,17
1373,fva,17
1374,thoughtful,17
1375,push,17
1376,worked,17
1377,historically,17
1378,unallocated,17
1379,wide,17
1380,conversations,17
1381,offs,17
1382,regions,16
1383,moves,16
1384,obvious,16
1385,attractive,16
1386,free,16
1387,normalization,16
1388,markdowns,16
1389,specialized,16
1390,effort,16
1391,anyway,16
1392,sequential,16
1393,complexity,16
1394,depend,16
1395,runs,16
1396,securitization,16
1397,worried,16
1398,helping,16
1399,split,16
1400,regardless,16
1401,roughly,16
1402,following,16
1403,repeat,16
1404,watching,16
1405,investors,16
1406,powerful,16
1407,florida,16
1408,closing,16
1409,referred,16
1410,currencies,16
1411,follow,16
1412,harder,16
1413,jobs,16
1414,described,16
1415,limited,16
1416,bounce,16
1417,fiscal,16
1418,hoping,16
1419,compare,16
1420,constant,16
1421,valuation,16
1422,measured,16
1423,car,16
1424,flexibility,16
1425,metals,16
1426,grade,16
1427,resulting,16
1428,enough,16
1429,providian,16
1430,vast,16
1431,success,16
1432,access,16
1433,tarp,16
1434,highlights,15
1435,depreciation,15
1436,ibcs,15
1437,positioning,15
1438,gsib,15
1439,buckets,15
1440,alternatives,15
1441,implementation,15
1442,except,15
1443,surcharge,15
1444,washington,15
1445,seem,15
1446,network,15
1447,excited,15
1448,pluses,15
1449,similarly,15
1450,internal,15
1451,transfer,15
1452,basic,15
1453,gse,15
1454,analysts,15
1455,testing,15
1456,mistake,15
1457,unfortunately,15
1458,equally,15
1459,effects,15
1460,constrained,15
1461,somewhere,15
1462,helps,15
1463,regional,15
1464,ii,15
1465,simple,15
1466,raise,15
1467,tried,15
1468,approval,15
1469,function,15
1470,guessing,15
1471,tight,15
1472,critical,15
1473,criticized,15
1474,pressures,15
1475,argue,15
1476,typically,15
1477,spoke,15
1478,cds,15
1479,refi,15
1480,assumption,15
1481,credits,15
1482,learn,15
1483,explain,15
1484,touch,15
1485,successful,15
1486,accomplish,15
1487,hiring,15
1488,affected,15
1489,selling,15
1490,ltv,15
1491,shown,15
1492,commitment,15
1493,pull,15
1494,sit,15
1495,lag,15
1496,insurance,15
1497,incentive,15
1498,amortization,15
1499,swing,15
1500,upper,15
1501,stage,15
1502,supporting,15
1503,outperforming,14
1504,outperformance,14
1505,select,14
1506,love,14
1507,betas,14
1508,leases,14
1509,weakness,14
1510,recoveries,14
1511,suggest,14
1512,engagement,14
1513,compelling,14
1514,playing,14
1515,hikes,14
1516,carefully,14
1517,identified,14
1518,targeted,14
1519,entirely,14
1520,appreciate,14
1521,operations,14
1522,notably,14
1523,keeping,14
1524,mainly,14
1525,finished,14
1526,equivalent,14
1527,foreclosures,14
1528,stressed,14
1529,overseas,14
1530,reinvest,14
1531,july,14
1532,proposals,14
1533,completed,14
1534,stats,14
1535,planning,14
1536,respond,14
1537,transparent,14
1538,rolling,14
1539,drag,14
1540,says,14
1541,office,14
1542,originating,14
1543,broken,14
1544,present,14
1545,sign,14
1546,win,14
1547,hey,14
1548,buyback,14
1549,understanding,14
1550,places,14
1551,idiosyncratic,14
1552,class,14
1553,methodology,14
1554,eight,14
1555,city,14
1556,annualized,14
1557,trades,14
1558,provided,14
1559,closely,14
1560,diversified,14
1561,stability,14
1562,ltvs,14
1563,reverse,14
1564,appropriately,14
1565,doubled,14
1566,constraint,14
1567,experienced,14
1568,adds,14
1569,telecom,14
1570,none,14
1571,flattish,14
1572,priced,14
1573,records,13
1574,annual,13
1575,pass,13
1576,mature,13
1577,walk,13
1578,increasingly,13
1579,spectrum,13
1580,correspondent,13
1581,revolvers,13
1582,everywhere,13
1583,needed,13
1584,research,13
1585,specifics,13
1586,reiterate,13
1587,hedges,13
1588,braunstein,13
1589,aggregate,13
1590,euro,13
1591,easily,13
1592,federal,13
1593,distributions,13
1594,widening,13
1595,tailwind,13
1596,highlight,13
1597,technical,13
1598,corporations,13
1599,word,13
1600,bounces,13
1601,welcome,13
1602,nice,13
1603,words,13
1604,principal,13
1605,exceptional,13
1606,reach,13
1607,optimizing,13
1608,mbs,13
1609,helped,13
1610,direction,13
1611,variety,13
1612,syndicated,13
1613,lowest,13
1614,minute,13
1615,derisking,13
1616,reinvestment,13
1617,contributing,13
1618,joining,13
1619,apply,13
1620,booked,13
1621,acquired,13
1622,sub,13
1623,greater,13
1624,unit,13
1625,special,13
1626,bonds,13
1627,consolidation,13
1628,teams,13
1629,mid,13
1630,bar,13
1631,york,13
1632,infrastructure,13
1633,performed,13
1634,integration,13
1635,dependent,13
1636,processes,13
1637,carrying,13
1638,mae,13
1639,generating,13
1640,summary,13
1641,focusing,13
1642,complicated,13
1643,brokerage,13
1644,incentives,13
1645,unusual,13
1646,purposes,13
1647,picked,13
1648,remediation,13
1649,bullet,13
1650,carried,13
1651,act,13
1652,write,13
1653,subject,13
1654,ideas,13
1655,italy,13
1656,deterioration,12
1657,physical,12
1658,naturally,12
1659,institutions,12
1660,cre,12
1661,strategies,12
1662,movement,12
1663,nir,12
1664,securitized,12
1665,environments,12
1666,heavily,12
1667,seems,12
1668,linear,12
1669,pushing,12
1670,accelerate,12
1671,cecl,12
1672,permanent,12
1673,extraordinarily,12
1674,competitor,12
1675,recognized,12
1676,decided,12
1677,house,12
1678,concern,12
1679,supposed,12
1680,fix,12
1681,clean,12
1682,unrealized,12
1683,limit,12
1684,differences,12
1685,person,12
1686,force,12
1687,adequate,12
1688,buffers,12
1689,necessary,12
1690,accommodate,12
1691,slowdown,12
1692,especially,12
1693,amounts,12
1694,watch,12
1695,rolled,12
1696,draw,12
1697,feature,12
1698,secular,12
1699,marketplace,12
1700,interested,12
1701,covering,12
1702,harp,12
1703,anymore,12
1704,commentary,12
1705,ipo,12
1706,sectors,12
1707,phase,12
1708,february,12
1709,telling,12
1710,stabilized,12
1711,resulted,12
1712,immediately,12
1713,provisions,12
1714,modeled,12
1715,totally,12
1716,matt,12
1717,hurt,12
1718,expand,12
1719,action,12
1720,seven,12
1721,comparisons,12
1722,anticipation,12
1723,objectives,12
1724,category,12
1725,partly,12
1726,reaching,12
1727,stayed,12
1728,relevant,12
1729,extreme,12
1730,pure,12
1731,dropped,12
1732,coulter,12
1733,responsibility,12
1734,applications,12
1735,rated,12
1736,goodwill,12
1737,brought,12
1738,cuts,12
1739,affects,12
1740,supplement,12
1741,flattening,12
1742,cycles,12
1743,premium,12
1744,form,12
1745,discussions,12
1746,tightening,12
1747,notice,12
1748,delinquent,12
1749,uk,12
1750,preferreds,12
1751,reviewed,12
1752,website,11
1753,ipos,11
1754,cumulative,11
1755,color,11
1756,incredibly,11
1757,tick,11
1758,toward,11
1759,interchange,11
1760,banker,11
1761,speaks,11
1762,plays,11
1763,asking,11
1764,modeling,11
1765,parallel,11
1766,deep,11
1767,ficc,11
1768,competing,11
1769,producing,11
1770,pushed,11
1771,millions,11
1772,terrible,11
1773,sorts,11
1774,issued,11
1775,address,11
1776,light,11
1777,observations,11
1778,indication,11
1779,felt,11
1780,journey,11
1781,traders,11
1782,payout,11
1783,cheaper,11
1784,ecb,11
1785,aggressively,11
1786,budgets,11
1787,creating,11
1788,landscape,11
1789,recover,11
1790,employees,11
1791,treated,11
1792,guidelines,11
1793,units,11
1794,consent,11
1795,agencies,11
1796,black,11
1797,brings,11
1798,secondary,11
1799,classes,11
1800,rating,11
1801,static,11
1802,measures,11
1803,visa,11
1804,protection,11
1805,dealing,11
1806,evidence,11
1807,franchises,11
1808,parties,11
1809,travel,11
1810,assessment,11
1811,borrow,11
