,0
1016,quarter
1017,things
1018,going
1019,said
1020,earlier
1021,buy
1022,importantly
1023,see
1024,investment
1025,securities
1026,also
1027,cash
1028,deployment
1029,strategies
1030,well
1031,actions
1032,took
1033,back
1034,mortgage
1035,loan
1036,things
1037,going
1038,investment
1039,securities
1040,quarter
1041,start
1042,want
1043,add
1044,like
1045,call
1046,centers
1047,mike
1048,necessarily
1049,think
1050,terms
1051,number
1052,think
1053,productivity
1054,number
1055,calls
1056,able
1057,take
1058,may
1059,people
1060,volume
1061,good
1062,healthy
1063,volume
1064,top
1065,line
1066,always
1067,making
1068,sure
1069,people
1070,call
1071,centers
1072,overall
1073,productivity
1074,call
1075,center
1076,increasing
1077,client
1078,sentiment
1079,think
1080,fair
1081,say
1082,perhaps
1083,marginal
1084,investment
1085,impacted
1086,trade
1087,fatigue
1088,terms
1089,broadly
1090,speaking
1091,slower
1092,growth
1093,still
1094,said
1095,consumer
1096,incredibly
1097,spending
1098,strong
1099,consumer
1100,credit
1101,true
1102,look
1103,ism
1104,surveys
1105,manufacturing
1106,nonmanufacturing
1107,recently
1108,would
1109,say
1110,doubt
1111,cautionary
1112,signs
1113,credit
1114,remains
1115,good
1116,still
1117,healthy
1118,business
1119,activity
1120,mean
1121,doubt
1122,business
1123,impacted
1124,rate
1125,headwinds
1126,implieds
1127,play
1128,immune
1129,said
1130,earlier
1131,least
1132,partial
1133,offset
1134,still
1135,feel
1136,good
1137,underlying
1138,growth
1139,seeing
1140,terms
1141,reprice
1142,obviously
1143,little
1144,movement
1145,back
1146,fed
1147,ease
1148,given
1149,little
1150,movement
1151,way
1152,fact
1153,saw
1154,rates
1155,paid
1156,consumer
1157,businesses
1158,tick
1159,little
1160,bit
1161,slight
1162,migration
1163,continue
1164,see
1165,love
1166,branch
1167,expansion
1168,going
1169,feel
1170,great
1171,continued
1172,growth
1173,wo
1174,immune
1175,rate
1176,headwinds
1177,ib
1178,pipeline
1179,would
1180,say
1181,healthy
1182,although
1183,expect
1184,fourth
1185,quarter
1186,sequentially
1187,strong
1188,performances
1189,third
1190,quarter
1191,well
1192,fourth
1193,quarter
1194,last
1195,overall
1196,feels
1197,healthy
1198,first
1199,securities
1200,yield
1201,play
1202,role
1203,importantly
1204,impact
1205,securities
1206,yields
1207,came
1208,mix
1209,lower
1210,rates
1211,predominantly
1212,mix
1213,lower
1214,rate
1215,lesser
1216,extent
1217,point
1218,prepaid
1219,well
1220,little
1221,bit
1222,day
1223,betas
1224,broadly
1225,speaking
1226,say
1227,betas
1228,look
1229,retail
1230,side
1231,said
1232,little
1233,movement
1234,fed
1235,see
1236,rates
1237,paid
1238,even
1239,tick
1240,little
1241,bit
1242,obviously
1243,opportunity
1244,reprice
1245,client
1246,going
1247,lose
1248,valuable
1249,client
1250,relationships
1251,ticks
1252,saw
1253,might
1254,expect
1255,cib
1256,rates
1257,paid
1258,also
1259,saw
1260,rates
1261,pay
1262,awm
1263,commercial
1264,bank
1265,little
1266,bit
1267,less
1268,marty
1269,think
1270,asked
1271,fourth
1272,think
1273,continue
1274,see
1275,deposit
1276,margin
1277,compression
1278,retail
1279,come
1280,peaks
1281,terms
1282,cd
1283,pricing
1284,still
1285,slight
1286,migration
1287,products
1288,look
1289,think
1290,difficult
1291,think
1292,declining
1293,rate
1294,environment
1295,said
1296,think
1297,alternatives
1298,obviously
1299,less
1300,attractive
1301,still
1302,see
1303,good
1304,organic
1305,growth
1306,wholesale
1307,well
1308,treasury
1309,services
1310,securities
1311,think
