,Quarter_Year,txt_polarity_basecase,sentence_polarity_basecase,txt_polarity_filtered_length,sentence_polarity_filtered_length,txt_polarity_filtered_lexicon,sentence_polarity_filtered_lexicon
43,Q4_2019,0.14934531761097894,0.1351902651392447,0.13069389505373338,0.21260034023715685,0.1807783239986629,0.23973178795227407
44,Q1_2011,0.1500925531663237,0.11626203262814802,0.14432883743381963,0.11087847924816245,0.21130425034070865,0.21003430170047818
45,Q4_2018,0.13430064427840618,0.11057136518879905,0.1293981602289176,0.1379970705320062,0.15766171148943176,0.16405541914892766
46,Q1_2010,0.11713004462325129,0.08662827318599135,0.10801669635002979,0.09105893549892577,0.12391361442727244,0.1475998565961589
47,Q2_2012,0.1157682553869352,0.08543360700269913,0.12151742296209933,0.10764512875324919,0.14206946544703394,0.13827226440918577
48,Q4_2004,0.16168214354757401,0.13613815651188618,0.16625908461411812,0.10003928877602665,0.21006280965084573,0.11664884605900808
49,Q4_2005,0.1273249500434816,0.09190705977757871,0.13205749120825466,0.09985738113146335,0.145025232028073,0.11986370186051414
50,Q2_2013,0.11683561372872978,0.0819034535876073,0.11590607668193892,0.09994533982826918,0.14381802241685968,0.182409316286537
51,Q2_2010,0.10763218986935372,0.0905262298949691,0.11057618777538568,0.09086507429409658,0.1437384723861997,0.08056591877232634
52,Q2_2011,0.13209486412365995,0.09958560023931047,0.12569640062597812,0.12831299225279236,0.1386195636700121,0.14697302294633643
53,Q1_2009,0.112826025368261,0.10603267315945512,0.10564623066445508,0.13306813081036412,0.12642108669108673,0.15512805413851616
54,Q2_2017,0.1180350093712162,0.08688392833502598,0.1164098035570428,0.10204061940495969,0.1464129525777253,0.19103928765453296
55,Q2_2016,0.12916301821899995,0.1133234150428851,0.12577737574752512,0.16324073404998662,0.14484164070612662,0.18352855696198825
56,Q2_2015,0.1073056933295627,0.10017507526766785,0.10621224660663171,0.10680592111448366,0.11906366887863604,0.08698540724064341
57,Q4_2003,0.07644473943302067,0.05857904056730798,0.07370585932375705,0.08044002585946108,0.07998928824586718,0.10596004800975041
58,Q4_2002,0.06665184154469862,0.05789181201246419,0.05121739171575233,0.12920756866471605,0.05911033897876,0.04839964920137334
59,Q2_2014,0.10615181442444718,0.09494320980926309,0.10653357224785806,0.10118680480933903,0.12458300589169154,0.09637505826193583
60,Q3_2008,0.14589074783746925,0.11232206270292208,0.14141544470301706,0.12608988629149848,0.14997810618500274,0.09644980521337353
61,Q3_2009,0.09979201813485543,0.08042377796988417,0.1000747157675409,0.08405697663849862,0.12433859398422513,0.08867466411094559
